Species,Rep,Month,Temp,H_lipid,S_lipid
OULA,2,August,30.0097,44.22310757,57.08324182
OULA,3,August,30.0097,34.9944009,60.75927524
GALA,1,August,30.0097,22.21933809,31.04310848
GALA,2,August,30.0097,28.35181942,34.38487973
GALA,3,August,30.0097,31.92774687,43.32111644
MONT,1,August,30.0097,31.07811963,36.85138046
MONT,2,August,30.0097,47.94788609,53.05537874
MONT,3,August,30.0097,30.35108548,41.31492859
POR,1,September,29.0969,56.69428696,59.58066866
POR,2,September,29.0969,66.6489832,48.64755753
POR,3,September,29.0969,25.97897503,65.24472938
ACRO,1,September,29.0969,63.21070234,57.37277077
ACRO,2,September,29.0969,12.65474553,52.76537939
ACRO,3,September,29.0969,56.83206676,45.86198719
OULA,1,September,29.0969,4.234557673,50.43273013
OULA,2,September,29.0969,46.43493761,52.34815279
OULA,3,September,29.0969,36.63220089,72.19101124
GALA,1,September,29.0969,28.47633628,31.43601023
GALA,2,September,29.0969,32.60008198,43.73502467
GALA,3,September,29.0969,26.30469462,27.28596984
MONT,1,September,29.0969,22.19017957,60.68984504
MONT,2,September,29.0969,42.78169935,43.69884038
MONT,3,September,29.0969,41.48422894,54.7842818
POR,1,October,28.0222,30.92351444,57.63553789
POR,2,October,28.0222,80.74673864,47.37
POR,3,October,28.0222,88.36498581,31.30360206
ACRO,1,October,28.0222,41.58241758,50.59155924
ACRO,2,October,28.0222,43.00827967,49.47696417
ACRO,3,October,28.0222,74.80118509,53.13611683
OULA,1,October,28.0222,22.35523385,35.56512379
OULA,2,October,28.0222,40.98737084,21.46266359
OULA,3,October,28.0222,43.13131313,29.40031842
GALA,1,October,28.0222,10.63577386,26.42587901
GALA,2,October,28.0222,34.83200716,22.77907533
GALA,3,October,28.0222,42.80912967,41.16613829
MONT,1,October,28.0222,26.01771948,43.44407811
MONT,2,October,28.0222,22.41346818,39.12143307
MONT,3,October,28.0222,35.69654637,34.79400749
POR,1,November,25.6795,33.6950624,56.09399732
POR,2,November,25.6795,33.80414313,48.08320318
POR,3,November,25.6795,29.73893303,43.07692308
ACRO,1,November,25.6795,19.54632588,36.62726556
ACRO,2,November,25.6795,28.86242557,39.81836529
ACRO,3,November,25.6795,79.52608251,30.2578019
OULA,1,November,25.6795,41.26655629,33.77043872
OULA,2,November,25.6795,0.59084195,37.28053792
OULA,3,November,25.6795,53.71577575,29.10254193
GALA,1,November,25.6795,21.11141796,21.09989044
GALA,2,November,25.6795,29.11980777,55.49030077
GALA,3,November,25.6795,13.63883399,27.93665064
MONT,1,November,25.6795,23.64895503,39.44729763
MONT,2,November,25.6795,32.36302704,40.69535917
MONT,3,November,25.6795,35.68738533,34.0632793
POR,1,December,20.5138,77.12954034,61.90612479
POR,2,December,20.5138,38.38905775,69.8545527
POR,3,December,20.5138,48.57316333,50.84787417
ACRO,1,December,20.5138,52.59274874,32.89404323
ACRO,2,December,20.5138,59.89534666,38.52613291
ACRO,3,December,20.5138,37.46956061,22.67874037
OULA,1,December,20.5138,21.21116043,56.81488642
OULA,2,December,20.5138,43.06839187,21.45208486
OULA,3,December,20.5138,16.59663866,40.8136823
GALA,1,December,20.5138,19.28304329,16.95467459
GALA,2,December,20.5138,30.74888411,14.50692747
GALA,3,December,20.5138,17.37145755,15.29474126
MONT,1,December,20.5138,30.2811285,38.23638156
MONT,2,December,20.5138,49.66791871,37.30029085
MONT,3,December,20.5138,48.90890891,45.72450022
